Job Title,Company,Platform,Skill,Language,Location,Job Description,Job Type,Salary Range
Anganwadi Worker,Company_2437,FreshersWorld,Grooming,Telugu,Uttar Pradesh,Looking for Anganwadi Worker in Uttar Pradesh with skills in Grooming.,Part-time,Negotiable
NGO Worker,Company_6883,Indeed,Packing,Hindi,Uttarakhand,Looking for NGO Worker in Uttarakhand with skills in Packing.,Part-time,21273 INR/month
Warehouse Helper,Company_1427,Shine,Crafting,Punjabi,Rajasthan,Looking for Warehouse Helper in Rajasthan with skills in Crafting.,Part-time,19205 INR/month
Housekeeper,Company_3615,FreshersWorld,Call Handling,Gujarati,Madhya Pradesh,Looking for Housekeeper in Madhya Pradesh with skills in Call Handling.,Part-time,18733 INR/month
Security Guard,Company_3846,Apna,Customer Support,Tamil,West Bengal,Looking for Security Guard in West Bengal with skills in Customer Support.,Part-time,21756 INR/month
Warehouse Helper,Company_9064,Apna,Time Management,Bengali,Madhya Pradesh,Looking for Warehouse Helper in Madhya Pradesh with skills in Time Management.,Full-time,Negotiable
Housekeeper,Company_1326,JobHai,Sewing,Marathi,Madhya Pradesh,Looking for Housekeeper in Madhya Pradesh with skills in Sewing.,Full-time,Negotiable
NGO Worker,Company_1975,Naukri,Cooking,Bengali,West Bengal,Looking for NGO Worker in West Bengal with skills in Cooking.,Part-time,14641 INR/month
Content Writer,Company_2655,Shine,Basic Computer,Gujarati,Uttarakhand,Looking for Content Writer in Uttarakhand with skills in Basic Computer.,Part-time,15161 INR/month
Customer Support,Company_6846,FreshersWorld,Packing,Gujarati,Rajasthan,Looking for Customer Support in Rajasthan with skills in Packing.,Part-time,15745 INR/month
Caregiver,Company_1029,Internshala,Health Awareness,Bengali,Rajasthan,Looking for Caregiver in Rajasthan with skills in Health Awareness.,Full-time,22831 INR/month
Warehouse Helper,Company_2705,Apna,Basic Accounting,Gujarati,Madhya Pradesh,Looking for Warehouse Helper in Madhya Pradesh with skills in Basic Accounting.,Full-time,Negotiable
Data Entry Operator,Company_2453,Indeed,Time Management,Gujarati,Rajasthan,Looking for Data Entry Operator in Rajasthan with skills in Time Management.,Full-time,21001 INR/month
Social Media Assistant,Company_2110,Apna,Teaching,Marathi,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Teaching.,Part-time,10041 INR/month
Housekeeper,Company_7783,WorkIndia,Marketing,Tamil,Rajasthan,Looking for Housekeeper in Rajasthan with skills in Marketing.,Part-time,27892 INR/month
Caregiver,Company_8393,JobHai,Social Media Promotion,Marathi,Rajasthan,Looking for Caregiver in Rajasthan with skills in Social Media Promotion.,Part-time,19663 INR/month
Tailor,Company_6600,Shine,Teaching,English,Bihar,Looking for Tailor in Bihar with skills in Teaching.,Part-time,12457 INR/month
Security Guard,Company_8066,JobHai,Cooking,Telugu,Uttar Pradesh,Looking for Security Guard in Uttar Pradesh with skills in Cooking.,Full-time,Negotiable
Customer Support,Company_4367,Naukri,Sewing,English,West Bengal,Looking for Customer Support in West Bengal with skills in Sewing.,Full-time,28157 INR/month
Security Guard,Company_2571,Internshala,Health Awareness,Punjabi,Madhya Pradesh,Looking for Security Guard in Madhya Pradesh with skills in Health Awareness.,Part-time,26087 INR/month
Telecaller,Company_2435,Apna,Time Management,Hindi,Uttarakhand,Looking for Telecaller in Uttarakhand with skills in Time Management.,Part-time,29667 INR/month
Packing Assistant,Company_3798,Indeed,Data Entry,Hindi,Madhya Pradesh,Looking for Packing Assistant in Madhya Pradesh with skills in Data Entry.,Full-time,25517 INR/month
Content Writer,Company_5341,Internshala,Crafting,Telugu,Haryana,Looking for Content Writer in Haryana with skills in Crafting.,Part-time,16058 INR/month
Delivery Boy,Company_1731,WorkIndia,Time Management,Bengali,Haryana,Looking for Delivery Boy in Haryana with skills in Time Management.,Part-time,17413 INR/month
Health Worker (ASHA),Company_6632,Apna,Content Writing,English,Bihar,Looking for Health Worker (ASHA) in Bihar with skills in Content Writing.,Full-time,29324 INR/month
Beautician Assistant,Company_8779,Apna,Crafting,Tamil,Chhattisgarh,Looking for Beautician Assistant in Chhattisgarh with skills in Crafting.,Full-time,19792 INR/month
Data Entry Operator,Company_8357,WorkIndia,Sewing,Bengali,Bihar,Looking for Data Entry Operator in Bihar with skills in Sewing.,Part-time,16943 INR/month
NGO Worker,Company_8133,Naukri,Sewing,Tamil,Bihar,Looking for NGO Worker in Bihar with skills in Sewing.,Part-time,14845 INR/month
Health Worker (ASHA),Company_7510,Shine,Basic Computer,English,Uttarakhand,Looking for Health Worker (ASHA) in Uttarakhand with skills in Basic Computer.,Full-time,27029 INR/month
Social Media Assistant,Company_7790,Apna,Cleaning,Tamil,Bihar,Looking for Social Media Assistant in Bihar with skills in Cleaning.,Part-time,29093 INR/month
Content Writer,Company_9775,JobHai,Caregiving,English,Maharashtra,Looking for Content Writer in Maharashtra with skills in Caregiving.,Full-time,18655 INR/month
Caregiver,Company_3821,FreshersWorld,Caregiving,Telugu,Uttar Pradesh,Looking for Caregiver in Uttar Pradesh with skills in Caregiving.,Part-time,Negotiable
Caregiver,Company_1807,Apna,Crafting,Gujarati,Madhya Pradesh,Looking for Caregiver in Madhya Pradesh with skills in Crafting.,Full-time,22204 INR/month
Tailor,Company_9054,Shine,Health Awareness,Punjabi,Maharashtra,Looking for Tailor in Maharashtra with skills in Health Awareness.,Full-time,17469 INR/month
Telecaller,Company_7828,Internshala,Marketing,Gujarati,Maharashtra,Looking for Telecaller in Maharashtra with skills in Marketing.,Full-time,Negotiable
Social Media Assistant,Company_7126,Indeed,Grooming,Telugu,Chhattisgarh,Looking for Social Media Assistant in Chhattisgarh with skills in Grooming.,Full-time,15209 INR/month
Data Entry Operator,Company_9589,Internshala,Call Handling,Tamil,Rajasthan,Looking for Data Entry Operator in Rajasthan with skills in Call Handling.,Full-time,Negotiable
NGO Worker,Company_8478,Indeed,Sewing,Marathi,Uttar Pradesh,Looking for NGO Worker in Uttar Pradesh with skills in Sewing.,Part-time,16524 INR/month
Health Worker (ASHA),Company_1500,Shine,Marketing,Tamil,Bihar,Looking for Health Worker (ASHA) in Bihar with skills in Marketing.,Part-time,24617 INR/month
Online Tutor,Company_3679,FreshersWorld,Caregiving,Gujarati,West Bengal,Looking for Online Tutor in West Bengal with skills in Caregiving.,Full-time,12961 INR/month
Anganwadi Worker,Company_4511,Apna,Crafting,Hindi,Rajasthan,Looking for Anganwadi Worker in Rajasthan with skills in Crafting.,Full-time,16774 INR/month
Health Worker (ASHA),Company_8767,WorkIndia,Call Handling,Hindi,Uttar Pradesh,Looking for Health Worker (ASHA) in Uttar Pradesh with skills in Call Handling.,Full-time,29698 INR/month
Tailor,Company_7943,Indeed,Teaching,Punjabi,Maharashtra,Looking for Tailor in Maharashtra with skills in Teaching.,Full-time,25040 INR/month
Health Worker (ASHA),Company_7506,Indeed,Marketing,Punjabi,Chhattisgarh,Looking for Health Worker (ASHA) in Chhattisgarh with skills in Marketing.,Full-time,Negotiable
Delivery Boy,Company_2045,Internshala,Health Awareness,English,Haryana,Looking for Delivery Boy in Haryana with skills in Health Awareness.,Part-time,20654 INR/month
Health Worker (ASHA),Company_3456,Internshala,Packing,Punjabi,Madhya Pradesh,Looking for Health Worker (ASHA) in Madhya Pradesh with skills in Packing.,Full-time,11860 INR/month
Caregiver,Company_5843,Shine,Content Writing,Hindi,Haryana,Looking for Caregiver in Haryana with skills in Content Writing.,Part-time,22722 INR/month
Housekeeper,Company_8794,Indeed,Cooking,Marathi,Chhattisgarh,Looking for Housekeeper in Chhattisgarh with skills in Cooking.,Full-time,26623 INR/month
Anganwadi Worker,Company_2599,Naukri,Listening,Bengali,Maharashtra,Looking for Anganwadi Worker in Maharashtra with skills in Listening.,Part-time,28318 INR/month
Online Tutor,Company_6820,Shine,Packing,English,Madhya Pradesh,Looking for Online Tutor in Madhya Pradesh with skills in Packing.,Part-time,23778 INR/month
Cook,Company_2929,Shine,Teaching,Punjabi,Haryana,Looking for Cook in Haryana with skills in Teaching.,Part-time,29122 INR/month
Warehouse Helper,Company_2963,JobHai,Social Media Promotion,Marathi,Chhattisgarh,Looking for Warehouse Helper in Chhattisgarh with skills in Social Media Promotion.,Full-time,19776 INR/month
Customer Support,Company_6614,Apna,Content Writing,Bengali,Madhya Pradesh,Looking for Customer Support in Madhya Pradesh with skills in Content Writing.,Part-time,24993 INR/month
Telecaller,Company_6449,Shine,Basic Accounting,English,Haryana,Looking for Telecaller in Haryana with skills in Basic Accounting.,Full-time,Negotiable
Housekeeper,Company_3762,Apna,Marketing,Punjabi,Madhya Pradesh,Looking for Housekeeper in Madhya Pradesh with skills in Marketing.,Full-time,Negotiable
Data Entry Operator,Company_7609,Naukri,Cleaning,Tamil,Uttarakhand,Looking for Data Entry Operator in Uttarakhand with skills in Cleaning.,Part-time,10152 INR/month
Housekeeper,Company_9700,Indeed,Time Management,Hindi,West Bengal,Looking for Housekeeper in West Bengal with skills in Time Management.,Part-time,18153 INR/month
Beautician Assistant,Company_7284,Shine,Health Awareness,Bengali,Bihar,Looking for Beautician Assistant in Bihar with skills in Health Awareness.,Full-time,12139 INR/month
Housekeeper,Company_9587,Internshala,Health Awareness,Telugu,Chhattisgarh,Looking for Housekeeper in Chhattisgarh with skills in Health Awareness.,Part-time,14384 INR/month
Cook,Company_7609,FreshersWorld,Time Management,Marathi,Rajasthan,Looking for Cook in Rajasthan with skills in Time Management.,Part-time,14299 INR/month
NGO Worker,Company_7006,Apna,Caregiving,Bengali,Bihar,Looking for NGO Worker in Bihar with skills in Caregiving.,Full-time,22294 INR/month
Health Worker (ASHA),Company_1323,Apna,Cleaning,Hindi,Bihar,Looking for Health Worker (ASHA) in Bihar with skills in Cleaning.,Part-time,Negotiable
Social Media Assistant,Company_3508,WorkIndia,Data Entry,Punjabi,Haryana,Looking for Social Media Assistant in Haryana with skills in Data Entry.,Part-time,10304 INR/month
Anganwadi Worker,Company_7862,WorkIndia,Data Entry,Punjabi,Rajasthan,Looking for Anganwadi Worker in Rajasthan with skills in Data Entry.,Full-time,Negotiable
Content Writer,Company_4254,Internshala,Data Entry,English,Haryana,Looking for Content Writer in Haryana with skills in Data Entry.,Full-time,27142 INR/month
NGO Worker,Company_1645,Shine,Grooming,Punjabi,Rajasthan,Looking for NGO Worker in Rajasthan with skills in Grooming.,Full-time,25750 INR/month
Cook,Company_2809,Indeed,Tailoring,Hindi,Bihar,Looking for Cook in Bihar with skills in Tailoring.,Full-time,14887 INR/month
Data Entry Operator,Company_8483,JobHai,Data Entry,Punjabi,Madhya Pradesh,Looking for Data Entry Operator in Madhya Pradesh with skills in Data Entry.,Full-time,25213 INR/month
Housekeeper,Company_6901,JobHai,Basic Accounting,Hindi,Maharashtra,Looking for Housekeeper in Maharashtra with skills in Basic Accounting.,Full-time,13797 INR/month
Content Writer,Company_6384,Apna,Tailoring,Bengali,Rajasthan,Looking for Content Writer in Rajasthan with skills in Tailoring.,Part-time,18791 INR/month
Data Entry Operator,Company_7566,Shine,Cooking,Bengali,Bihar,Looking for Data Entry Operator in Bihar with skills in Cooking.,Part-time,22639 INR/month
Packing Assistant,Company_3171,WorkIndia,Packing,Bengali,Bihar,Looking for Packing Assistant in Bihar with skills in Packing.,Full-time,Negotiable
Online Tutor,Company_3969,JobHai,Grooming,Telugu,Haryana,Looking for Online Tutor in Haryana with skills in Grooming.,Full-time,10944 INR/month
Telecaller,Company_8220,FreshersWorld,Social Media Promotion,English,Uttarakhand,Looking for Telecaller in Uttarakhand with skills in Social Media Promotion.,Part-time,20296 INR/month
Tailor,Company_5072,Indeed,Cooking,English,Uttarakhand,Looking for Tailor in Uttarakhand with skills in Cooking.,Part-time,22611 INR/month
Telecaller,Company_8688,Apna,Tailoring,Bengali,Chhattisgarh,Looking for Telecaller in Chhattisgarh with skills in Tailoring.,Full-time,12453 INR/month
Packing Assistant,Company_1824,Shine,Customer Support,Gujarati,Maharashtra,Looking for Packing Assistant in Maharashtra with skills in Customer Support.,Full-time,22407 INR/month
Caregiver,Company_8341,Indeed,Basic Computer,Telugu,Haryana,Looking for Caregiver in Haryana with skills in Basic Computer.,Part-time,20356 INR/month
Content Writer,Company_7609,FreshersWorld,Packing,Hindi,Bihar,Looking for Content Writer in Bihar with skills in Packing.,Part-time,10005 INR/month
Data Entry Operator,Company_6584,Internshala,Call Handling,Marathi,Haryana,Looking for Data Entry Operator in Haryana with skills in Call Handling.,Part-time,Negotiable
Beautician Assistant,Company_8414,FreshersWorld,Cooking,Telugu,West Bengal,Looking for Beautician Assistant in West Bengal with skills in Cooking.,Part-time,17266 INR/month
Tailor,Company_9552,Shine,Time Management,Punjabi,Chhattisgarh,Looking for Tailor in Chhattisgarh with skills in Time Management.,Part-time,Negotiable
Online Tutor,Company_5166,FreshersWorld,Content Writing,Tamil,Bihar,Looking for Online Tutor in Bihar with skills in Content Writing.,Full-time,Negotiable
Caregiver,Company_2765,Indeed,Marketing,Marathi,West Bengal,Looking for Caregiver in West Bengal with skills in Marketing.,Full-time,Negotiable
Warehouse Helper,Company_3205,JobHai,Marketing,Telugu,Chhattisgarh,Looking for Warehouse Helper in Chhattisgarh with skills in Marketing.,Full-time,Negotiable
Housekeeper,Company_3903,WorkIndia,Caregiving,Telugu,Chhattisgarh,Looking for Housekeeper in Chhattisgarh with skills in Caregiving.,Full-time,Negotiable
Telecaller,Company_7302,JobHai,Crafting,Gujarati,Chhattisgarh,Looking for Telecaller in Chhattisgarh with skills in Crafting.,Part-time,18134 INR/month
Health Worker (ASHA),Company_3185,WorkIndia,Cooking,Punjabi,Haryana,Looking for Health Worker (ASHA) in Haryana with skills in Cooking.,Part-time,26786 INR/month
Anganwadi Worker,Company_4435,Shine,Listening,Marathi,Madhya Pradesh,Looking for Anganwadi Worker in Madhya Pradesh with skills in Listening.,Full-time,21314 INR/month
Telecaller,Company_6771,Naukri,Call Handling,Gujarati,Bihar,Looking for Telecaller in Bihar with skills in Call Handling.,Full-time,23679 INR/month
Security Guard,Company_2744,Internshala,Grooming,Hindi,Chhattisgarh,Looking for Security Guard in Chhattisgarh with skills in Grooming.,Part-time,Negotiable
Housekeeper,Company_5105,Indeed,Teaching,Bengali,Maharashtra,Looking for Housekeeper in Maharashtra with skills in Teaching.,Part-time,Negotiable
Anganwadi Worker,Company_8415,Indeed,Listening,Hindi,West Bengal,Looking for Anganwadi Worker in West Bengal with skills in Listening.,Part-time,28411 INR/month
Beautician Assistant,Company_7251,WorkIndia,Customer Support,Punjabi,Uttar Pradesh,Looking for Beautician Assistant in Uttar Pradesh with skills in Customer Support.,Part-time,20245 INR/month
Security Guard,Company_8259,Apna,Tailoring,Punjabi,Madhya Pradesh,Looking for Security Guard in Madhya Pradesh with skills in Tailoring.,Full-time,22050 INR/month
Warehouse Helper,Company_3906,Indeed,Communication,Punjabi,Haryana,Looking for Warehouse Helper in Haryana with skills in Communication.,Full-time,Negotiable
Online Tutor,Company_5572,JobHai,Crafting,Hindi,Uttarakhand,Looking for Online Tutor in Uttarakhand with skills in Crafting.,Full-time,Negotiable
Warehouse Helper,Company_3536,Internshala,Tailoring,Gujarati,Haryana,Looking for Warehouse Helper in Haryana with skills in Tailoring.,Part-time,29558 INR/month
Housekeeper,Company_6207,Internshala,Social Media Promotion,Gujarati,Bihar,Looking for Housekeeper in Bihar with skills in Social Media Promotion.,Full-time,27059 INR/month
Data Entry Operator,Company_6724,Naukri,Grooming,Tamil,Bihar,Looking for Data Entry Operator in Bihar with skills in Grooming.,Part-time,20875 INR/month
Cook,Company_8780,Shine,Health Awareness,Marathi,Chhattisgarh,Looking for Cook in Chhattisgarh with skills in Health Awareness.,Full-time,10288 INR/month
Content Writer,Company_1653,Shine,Marketing,Marathi,Madhya Pradesh,Looking for Content Writer in Madhya Pradesh with skills in Marketing.,Full-time,13715 INR/month
Caregiver,Company_9468,Internshala,Listening,Punjabi,Uttar Pradesh,Looking for Caregiver in Uttar Pradesh with skills in Listening.,Full-time,26670 INR/month
Social Media Assistant,Company_6248,FreshersWorld,Sewing,Punjabi,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Sewing.,Full-time,15485 INR/month
Security Guard,Company_4492,Apna,Packing,English,Madhya Pradesh,Looking for Security Guard in Madhya Pradesh with skills in Packing.,Full-time,13405 INR/month
NGO Worker,Company_1389,WorkIndia,Packing,English,Rajasthan,Looking for NGO Worker in Rajasthan with skills in Packing.,Part-time,12867 INR/month
Data Entry Operator,Company_2154,Apna,Basic Accounting,Punjabi,Chhattisgarh,Looking for Data Entry Operator in Chhattisgarh with skills in Basic Accounting.,Full-time,18475 INR/month
Customer Support,Company_6183,WorkIndia,Marketing,Tamil,Uttarakhand,Looking for Customer Support in Uttarakhand with skills in Marketing.,Part-time,27525 INR/month
Tailor,Company_6860,JobHai,Caregiving,Hindi,Bihar,Looking for Tailor in Bihar with skills in Caregiving.,Full-time,Negotiable
Anganwadi Worker,Company_7473,JobHai,Health Awareness,Telugu,Uttarakhand,Looking for Anganwadi Worker in Uttarakhand with skills in Health Awareness.,Full-time,Negotiable
Online Tutor,Company_5832,Indeed,Content Writing,Tamil,Chhattisgarh,Looking for Online Tutor in Chhattisgarh with skills in Content Writing.,Full-time,Negotiable
Delivery Boy,Company_1684,Apna,Listening,Bengali,Bihar,Looking for Delivery Boy in Bihar with skills in Listening.,Part-time,27601 INR/month
Security Guard,Company_4469,JobHai,Health Awareness,Marathi,West Bengal,Looking for Security Guard in West Bengal with skills in Health Awareness.,Part-time,26795 INR/month
Telecaller,Company_4183,Naukri,Basic Accounting,Marathi,Maharashtra,Looking for Telecaller in Maharashtra with skills in Basic Accounting.,Part-time,28589 INR/month
Housekeeper,Company_2103,FreshersWorld,Packing,English,Maharashtra,Looking for Housekeeper in Maharashtra with skills in Packing.,Part-time,Negotiable
Warehouse Helper,Company_4842,FreshersWorld,Cooking,Gujarati,Rajasthan,Looking for Warehouse Helper in Rajasthan with skills in Cooking.,Part-time,16340 INR/month
Cook,Company_3496,FreshersWorld,Marketing,Gujarati,Maharashtra,Looking for Cook in Maharashtra with skills in Marketing.,Full-time,20365 INR/month
Customer Support,Company_4629,Naukri,Tailoring,Gujarati,Madhya Pradesh,Looking for Customer Support in Madhya Pradesh with skills in Tailoring.,Full-time,19066 INR/month
Delivery Boy,Company_8296,Naukri,Cooking,Telugu,Haryana,Looking for Delivery Boy in Haryana with skills in Cooking.,Part-time,28077 INR/month
Content Writer,Company_3293,Naukri,Packing,English,Maharashtra,Looking for Content Writer in Maharashtra with skills in Packing.,Full-time,Negotiable
Data Entry Operator,Company_4485,JobHai,Tailoring,Hindi,Uttarakhand,Looking for Data Entry Operator in Uttarakhand with skills in Tailoring.,Full-time,27808 INR/month
Security Guard,Company_7430,FreshersWorld,Packing,Bengali,West Bengal,Looking for Security Guard in West Bengal with skills in Packing.,Part-time,19535 INR/month
Telecaller,Company_6961,FreshersWorld,Call Handling,English,Uttarakhand,Looking for Telecaller in Uttarakhand with skills in Call Handling.,Full-time,15434 INR/month
Sales Girl,Company_3395,Naukri,Marketing,Bengali,Rajasthan,Looking for Sales Girl in Rajasthan with skills in Marketing.,Full-time,21757 INR/month
Housekeeper,Company_5331,Indeed,Social Media Promotion,Marathi,Bihar,Looking for Housekeeper in Bihar with skills in Social Media Promotion.,Part-time,Negotiable
NGO Worker,Company_1760,Shine,Crafting,Telugu,Haryana,Looking for NGO Worker in Haryana with skills in Crafting.,Part-time,13382 INR/month
Sales Girl,Company_7201,Internshala,Teaching,Bengali,Uttarakhand,Looking for Sales Girl in Uttarakhand with skills in Teaching.,Part-time,12550 INR/month
Sales Girl,Company_7649,Internshala,Crafting,Marathi,Chhattisgarh,Looking for Sales Girl in Chhattisgarh with skills in Crafting.,Part-time,25953 INR/month
Packing Assistant,Company_3713,Apna,Call Handling,Bengali,Haryana,Looking for Packing Assistant in Haryana with skills in Call Handling.,Part-time,19201 INR/month
NGO Worker,Company_2938,Naukri,Basic Accounting,Bengali,West Bengal,Looking for NGO Worker in West Bengal with skills in Basic Accounting.,Full-time,20820 INR/month
Content Writer,Company_3641,FreshersWorld,Social Media Promotion,Telugu,Madhya Pradesh,Looking for Content Writer in Madhya Pradesh with skills in Social Media Promotion.,Full-time,17984 INR/month
Housekeeper,Company_9399,Naukri,Caregiving,Bengali,Rajasthan,Looking for Housekeeper in Rajasthan with skills in Caregiving.,Part-time,11832 INR/month
Online Tutor,Company_5644,Internshala,Basic Accounting,Tamil,Uttar Pradesh,Looking for Online Tutor in Uttar Pradesh with skills in Basic Accounting.,Full-time,29874 INR/month
Packing Assistant,Company_3338,FreshersWorld,Basic Accounting,Marathi,Uttarakhand,Looking for Packing Assistant in Uttarakhand with skills in Basic Accounting.,Full-time,15959 INR/month
Sales Girl,Company_2127,Internshala,Basic Accounting,Gujarati,Haryana,Looking for Sales Girl in Haryana with skills in Basic Accounting.,Part-time,13557 INR/month
Tailor,Company_2577,Indeed,Call Handling,Tamil,Rajasthan,Looking for Tailor in Rajasthan with skills in Call Handling.,Part-time,29654 INR/month
Housekeeper,Company_9835,JobHai,Basic Computer,Telugu,Rajasthan,Looking for Housekeeper in Rajasthan with skills in Basic Computer.,Full-time,24139 INR/month
Sales Girl,Company_8028,WorkIndia,Time Management,Hindi,Chhattisgarh,Looking for Sales Girl in Chhattisgarh with skills in Time Management.,Part-time,22492 INR/month
Delivery Boy,Company_8817,JobHai,Grooming,Bengali,Maharashtra,Looking for Delivery Boy in Maharashtra with skills in Grooming.,Full-time,12746 INR/month
Anganwadi Worker,Company_1116,WorkIndia,Teaching,Marathi,Uttar Pradesh,Looking for Anganwadi Worker in Uttar Pradesh with skills in Teaching.,Full-time,Negotiable
Tailor,Company_7698,WorkIndia,Packing,Marathi,West Bengal,Looking for Tailor in West Bengal with skills in Packing.,Part-time,Negotiable
Warehouse Helper,Company_5514,Internshala,Teaching,Tamil,West Bengal,Looking for Warehouse Helper in West Bengal with skills in Teaching.,Full-time,16674 INR/month
Customer Support,Company_8925,FreshersWorld,Basic Accounting,Gujarati,Chhattisgarh,Looking for Customer Support in Chhattisgarh with skills in Basic Accounting.,Part-time,21283 INR/month
Caregiver,Company_3650,Naukri,Data Entry,Marathi,Haryana,Looking for Caregiver in Haryana with skills in Data Entry.,Part-time,21089 INR/month
Security Guard,Company_2492,Apna,Basic Accounting,Tamil,Uttar Pradesh,Looking for Security Guard in Uttar Pradesh with skills in Basic Accounting.,Full-time,29668 INR/month
Customer Support,Company_7075,JobHai,Basic Computer,Punjabi,Madhya Pradesh,Looking for Customer Support in Madhya Pradesh with skills in Basic Computer.,Part-time,Negotiable
Caregiver,Company_3871,WorkIndia,Cleaning,Punjabi,Uttar Pradesh,Looking for Caregiver in Uttar Pradesh with skills in Cleaning.,Full-time,16609 INR/month
Sales Girl,Company_9451,Internshala,Communication,Hindi,Chhattisgarh,Looking for Sales Girl in Chhattisgarh with skills in Communication.,Full-time,11181 INR/month
Delivery Boy,Company_2422,Indeed,Packing,Hindi,Rajasthan,Looking for Delivery Boy in Rajasthan with skills in Packing.,Full-time,21571 INR/month
Caregiver,Company_1251,WorkIndia,Caregiving,Marathi,Chhattisgarh,Looking for Caregiver in Chhattisgarh with skills in Caregiving.,Full-time,Negotiable
Data Entry Operator,Company_5530,Internshala,Listening,Gujarati,West Bengal,Looking for Data Entry Operator in West Bengal with skills in Listening.,Part-time,24901 INR/month
Caregiver,Company_9294,Apna,Teaching,Bengali,Uttarakhand,Looking for Caregiver in Uttarakhand with skills in Teaching.,Part-time,Negotiable
Anganwadi Worker,Company_5098,Shine,Data Entry,Punjabi,Chhattisgarh,Looking for Anganwadi Worker in Chhattisgarh with skills in Data Entry.,Full-time,28453 INR/month
Packing Assistant,Company_1448,Indeed,Cooking,Telugu,Haryana,Looking for Packing Assistant in Haryana with skills in Cooking.,Part-time,22539 INR/month
Beautician Assistant,Company_9462,Indeed,Cooking,Tamil,West Bengal,Looking for Beautician Assistant in West Bengal with skills in Cooking.,Full-time,18629 INR/month
Beautician Assistant,Company_2245,Internshala,Basic Computer,Tamil,West Bengal,Looking for Beautician Assistant in West Bengal with skills in Basic Computer.,Full-time,Negotiable
Cook,Company_4115,Shine,Communication,Punjabi,Rajasthan,Looking for Cook in Rajasthan with skills in Communication.,Part-time,Negotiable
Beautician Assistant,Company_5091,Internshala,Communication,Marathi,Madhya Pradesh,Looking for Beautician Assistant in Madhya Pradesh with skills in Communication.,Full-time,13495 INR/month
Content Writer,Company_1692,JobHai,Social Media Promotion,Hindi,Chhattisgarh,Looking for Content Writer in Chhattisgarh with skills in Social Media Promotion.,Full-time,20335 INR/month
Packing Assistant,Company_5591,Internshala,Social Media Promotion,Bengali,Chhattisgarh,Looking for Packing Assistant in Chhattisgarh with skills in Social Media Promotion.,Part-time,14202 INR/month
Housekeeper,Company_6689,WorkIndia,Social Media Promotion,Hindi,Chhattisgarh,Looking for Housekeeper in Chhattisgarh with skills in Social Media Promotion.,Part-time,15727 INR/month
Social Media Assistant,Company_1137,JobHai,Call Handling,Telugu,West Bengal,Looking for Social Media Assistant in West Bengal with skills in Call Handling.,Part-time,29038 INR/month
Content Writer,Company_9987,Shine,Time Management,Punjabi,Rajasthan,Looking for Content Writer in Rajasthan with skills in Time Management.,Part-time,21242 INR/month
Delivery Boy,Company_7866,Naukri,Social Media Promotion,Tamil,Madhya Pradesh,Looking for Delivery Boy in Madhya Pradesh with skills in Social Media Promotion.,Full-time,23126 INR/month
Health Worker (ASHA),Company_2636,FreshersWorld,Basic Accounting,Bengali,Madhya Pradesh,Looking for Health Worker (ASHA) in Madhya Pradesh with skills in Basic Accounting.,Full-time,28197 INR/month
Customer Support,Company_8749,WorkIndia,Communication,Bengali,Rajasthan,Looking for Customer Support in Rajasthan with skills in Communication.,Full-time,Negotiable
Packing Assistant,Company_5915,Naukri,Packing,Gujarati,Haryana,Looking for Packing Assistant in Haryana with skills in Packing.,Part-time,11563 INR/month
Caregiver,Company_5166,JobHai,Basic Accounting,Hindi,Madhya Pradesh,Looking for Caregiver in Madhya Pradesh with skills in Basic Accounting.,Part-time,24740 INR/month
Cook,Company_5222,Internshala,Time Management,Gujarati,Chhattisgarh,Looking for Cook in Chhattisgarh with skills in Time Management.,Part-time,21504 INR/month
NGO Worker,Company_9363,Naukri,Health Awareness,Gujarati,West Bengal,Looking for NGO Worker in West Bengal with skills in Health Awareness.,Part-time,12569 INR/month
Caregiver,Company_6527,Internshala,Marketing,Bengali,Rajasthan,Looking for Caregiver in Rajasthan with skills in Marketing.,Part-time,23263 INR/month
Data Entry Operator,Company_6136,JobHai,Basic Accounting,Gujarati,Madhya Pradesh,Looking for Data Entry Operator in Madhya Pradesh with skills in Basic Accounting.,Part-time,18764 INR/month
Caregiver,Company_8377,Internshala,Marketing,Gujarati,Chhattisgarh,Looking for Caregiver in Chhattisgarh with skills in Marketing.,Part-time,Negotiable
Tailor,Company_4450,Naukri,Customer Support,Punjabi,Bihar,Looking for Tailor in Bihar with skills in Customer Support.,Part-time,Negotiable
Data Entry Operator,Company_7504,FreshersWorld,Listening,Hindi,Uttar Pradesh,Looking for Data Entry Operator in Uttar Pradesh with skills in Listening.,Full-time,13405 INR/month
Health Worker (ASHA),Company_4757,Naukri,Basic Computer,Tamil,Maharashtra,Looking for Health Worker (ASHA) in Maharashtra with skills in Basic Computer.,Part-time,14142 INR/month
Telecaller,Company_6328,Naukri,Tailoring,Hindi,West Bengal,Looking for Telecaller in West Bengal with skills in Tailoring.,Full-time,27713 INR/month
Health Worker (ASHA),Company_8126,FreshersWorld,Content Writing,Bengali,Haryana,Looking for Health Worker (ASHA) in Haryana with skills in Content Writing.,Full-time,20146 INR/month
